LanguageTag,TargetTag,Quantity,ChuyenNganh
c#,asp.net-core,612,Web Backend
c#,unity-game-engine,368,Game Development
c#,entity-framework-core,278,Web Backend
c#,azure,193,DevOps & Cloud
c#,asp.net,188,Web Backend
c#,asp.net-core-webapi,138,Web Backend
c#,android,92,Mobile App
c#,azure-functions,91,DevOps & Cloud
c#,sql-server,89,Database
c#,asp.net-core-mvc,85,Web Backend
c#,entity-framework,78,Web Backend
c#,asp.net-mvc,74,Web Backend
c#,authentication,49,Web Backend
c#,docker,45,DevOps & Cloud
c#,mudblazor,39,Database
c#,postgresql,37,Database
c#,asp.net-web-api,36,Web Backend
c#,jwt,36,Web Backend
c#,asp.net-core-8,29,Web Backend
c#,ios,29,Mobile App
c#,asp.net-core-identity,28,Web Backend
c#,mongodb,28,Database
c#,html,28,Web Frontend
c#,sql,24,Database
c#,amazon-web-services,24,DevOps & Cloud
c#,azure-devops,24,DevOps & Cloud
c#,npgsql,23,Database
c++,opengl,37,Game Development
c++,lambda,36,DevOps & Cloud
c++,android,32,Mobile App
c++,gdb,31,Database
c++,opencv,29,Data Science & AI
c++,vulkan,27,Game Development
c++,unreal-engine5,24,Game Development
go,postgresql,19,Database
go,docker,18,DevOps & Cloud
go,kubernetes,18,DevOps & Cloud
go,mongodb,10,Database
go,apache-kafka,8,DevOps & Cloud
go,google-cloud-platform,8,DevOps & Cloud
go,aws-lambda,7,DevOps & Cloud
go,redis,7,Database
go,sqlc,7,Database
go,html,6,Web Frontend
go,amazon-web-services,6,DevOps & Cloud
go,docker-compose,5,DevOps & Cloud
go,amazon-s3,5,DevOps & Cloud
go,sqlite,5,Database
go,graphql,5,Web Backend
go,azure,4,DevOps & Cloud
go,backend,4,Web Backend
go,sql,4,Database
go,flutter,4,Mobile App
go,google-cloud-pubsub,4,DevOps & Cloud
go,reactjs,4,Web Frontend
go,common-expression-language,3,Web Backend
go,mysql,3,Database
go,kubernetes-custom-resources,3,DevOps & Cloud
go,cookies,3,Web Backend
go,google-cloud-build,3,DevOps & Cloud
java,spring-boot,1301,Web Backend
java,spring,851,Web Backend
java,android,492,Mobile App
java,hibernate,305,Web Backend
java,gradle,193,Mobile App
java,kotlin,190,Mobile App
java,spring-data-jpa,133,Web Backend
java,spring-security,96,Web Backend
java,postgresql,94,Database
java,apache-kafka,90,DevOps & Cloud
java,docker,85,DevOps & Cloud
java,tomcat,74,Web Backend
java,spring-mvc,65,Web Backend
java,spring-webflux,64,Web Backend
java,android-studio,62,Mobile App
java,flutter,61,Mobile App
java,jdbc,60,Database
java,amazon-web-services,58,DevOps & Cloud
java,spring-kafka,52,Web Backend
java,apache-camel,45,DevOps & Cloud
java,sql,45,Database
java,azure,44,DevOps & Cloud
java,apache-flink,42,DevOps & Cloud
java,oracle-database,41,Database
java,apache-spark,39,DevOps & Cloud
java,redis,37,Database
java,apache-poi,36,DevOps & Cloud
java,mongodb,35,Database
java,amazon-s3,33,DevOps & Cloud
java,spring-data,31,Web Backend
java,spring-batch,31,Web Backend
