Year,LanguageTag,TargetTag,Quantity,ChuyenNganh
2020,c#,asp.net-core,7657,Web Backend
2020,c#,asp.net,5610,Web Backend
2020,c#,unity-game-engine,4932,Game Development
2020,c#,asp.net-mvc,3944,Web Backend
2020,c#,entity-framework,2631,Web Backend
2020,c#,entity-framework-core,2418,Web Backend
2020,c#,sql-server,1946,Database
2020,c#,azure,1515,DevOps & Cloud
2020,c#,sql,1407,Database
2020,c#,asp.net-web-api,1014,Web Backend
2020,c#,async-await,930,Data Science & AI
2020,c#,android,829,Mobile App
2020,c#,html,826,Web Frontend
2020,c#,asp.net-core-mvc,763,Web Backend
2020,c#,asp.net-core-webapi,743,Web Backend
2020,c#,asp.net-core-3.1,742,Web Backend
2020,c#,mysql,616,Database
2020,c#,xamarin.android,609,Mobile App
2020,c#,jquery,590,Web Frontend
2020,c#,azure-functions,519,DevOps & Cloud
2020,c#,mongodb,486,Database
2020,c#,ajax,414,Web Frontend
2020,c#,authentication,390,Web Backend
2020,c#,entity-framework-6,383,Web Backend
2020,c#,sqlite,356,Database
2020,c#,asp.net-identity,342,Web Backend
2020,c#,azure-active-directory,340,DevOps & Cloud
2020,c#,angular,340,Web Frontend
2020,c#,xamarin.ios,302,Mobile App
2020,c#,docker,293,DevOps & Cloud
2020,c++,opencv,950,Data Science & AI
2020,c++,opengl,859,Game Development
2020,c++,android,324,Mobile App
2020,c++,xcode,232,Mobile App
2020,c++,random,199,Web Frontend
2020,c++,gdb,196,Database
2020,c++,unreal-engine4,194,Game Development
2020,go,mongodb,261,Database
2020,go,docker,218,DevOps & Cloud
2020,go,postgresql,192,Database
2020,go,kubernetes,144,DevOps & Cloud
2020,go,mysql,105,Database
2020,go,sql,74,Database
2020,go,html,54,Web Frontend
2020,go,docker-compose,50,DevOps & Cloud
2020,go,aws-lambda,46,DevOps & Cloud
2020,go,redis,40,Database
2020,go,firebase,38,Database
2020,go,jwt,31,Web Backend
2020,go,aws-sdk-go,29,DevOps & Cloud
2020,go,dockerfile,27,DevOps & Cloud
2020,go,amazon-dynamodb,27,Database
2020,go,sqlx,27,Database
2020,go,reactjs,26,Web Frontend
2020,go,azure,26,DevOps & Cloud
2020,java,android,18522,Mobile App
2020,java,spring-boot,12502,Web Backend
2020,java,spring,11412,Web Backend
2020,java,android-studio,3759,Mobile App
2020,java,hibernate,3600,Web Backend
2020,java,kotlin,2586,Mobile App
2020,java,firebase,1792,Database
2020,java,mysql,1718,Database
2020,java,spring-data-jpa,1673,Web Backend
2020,java,spring-mvc,1448,Web Backend
2020,java,sql,1217,Database
2020,java,spring-security,1048,Web Backend
2020,java,jdbc,1047,Database
2020,java,android-recyclerview,1028,Mobile App
2020,java,firebase-realtime-database,893,Database
2020,java,mongodb,864,Database
2020,java,postgresql,856,Database
2020,java,html,832,Web Frontend
2020,java,docker,774,DevOps & Cloud
2020,java,android-fragments,685,Mobile App
2020,java,oracle-database,617,Database
2020,java,spring-data,530,Web Backend
2020,java,android-layout,505,Mobile App
2020,java,spring-webflux,487,Web Backend
2020,java,sqlite,460,Database
2020,javascript,html,38021,Web Frontend
2020,javascript,reactjs,37832,Web Frontend
2020,javascript,node.js,22531,Web Backend
2020,javascript,jquery,21737,Web Frontend
2020,javascript,css,17257,Web Frontend
2020,javascript,typescript,10123,Web Frontend
2020,javascript,vue.js,9188,Web Frontend
2020,javascript,angular,8004,Web Frontend
2020,javascript,react-native,6469,Mobile App
2020,javascript,php,6299,Web Backend
2020,javascript,ajax,4664,Web Frontend
2020,javascript,express,4585,Web Backend
2020,javascript,firebase,4161,Database
2020,javascript,react-hooks,2946,Web Frontend
2020,javascript,mongodb,2768,Database
2020,javascript,dom,2389,Web Frontend
2020,javascript,axios,2159,Mobile App
2020,javascript,webpack,2047,Web Frontend
2020,javascript,vuejs2,1813,Web Frontend
2020,javascript,async-await,1787,Data Science & AI
2020,javascript,laravel,1602,Web Backend
2020,javascript,react-redux,1587,Web Frontend
2020,javascript,django,1527,Web Backend
2020,javascript,bootstrap-4,1457,Web Frontend
2020,javascript,angularjs,1318,Web Frontend
2020,javascript,react-router,1182,Web Frontend
2020,javascript,mysql,1175,Database
2020,javascript,next.js,1049,Web Frontend
2020,javascript,android,936,Mobile App
2020,javascript,vue-component,919,Web Frontend
2020,javascript,dom-events,861,Web Frontend
2020,javascript,firebase-realtime-database,858,Database
2020,javascript,asp.net,833,Web Backend
