LanguageTag,TargetTag,Quantity
"c#",".net","1093"
"c#","asp.net-core","612"
"c#","unity-game-engine","368"
"c#","blazor","319"
"c#",".net-8.0","310"
"c#","maui","292"
"c#","entity-framework-core","278"
"c#","wpf","264"
"c#",".net-core","240"
"c#","winforms","217"
"c#","visual-studio","209"
"c#",".net-9.0","196"
"c#","azure","193"
"c#","asp.net","188"
"c#","xaml","154"
"c#","asp.net-core-webapi","138"
"c#","windows","105"
"c#","android","92"
"c#","azure-functions","91"
"c#","linq","90"
"c#","sql-server","89"
"c#","asp.net-core-mvc","85"
"c#","dependency-injection","80"
"c#","entity-framework","78"
"c#","blazor-server-side","78"
"c#","json","75"
"c#","asp.net-mvc","74"
"c#","microsoft-graph-api","72"
"c#","winui-3","72"
"c#","multithreading","65"
"c#","unit-testing","65"
"c#","async-await","62"
"c#","blazor-webassembly","62"
"c#",".net-4.8","58"
"c#","visual-studio-2022","57"
"c#","javascript","55"
"c#","xml","54"
"c#","visual-studio-code","54"
"c#","authentication","49"
"c#","system.text.json","49"
"c#","generics","49"
"c#","mvvm","47"
"c#","nuget","47"
"c#","docker","45"
"c#","selenium-webdriver","45"
"c#","dotnet-httpclient","44"
"c#","asynchronous","42"
"c#","avalonia","41"
"c#","avaloniaui","39"
"c#","mudblazor","39"
"c#","game-development","39"
"c#","winui","38"
"c#","excel","37"
"c#","xunit","37"
"c#","postgresql","37"
"c#","asp.net-web-api","36"
"c#","jwt","36"
"c#","msbuild","36"
"c#","json.net","35"
"c#","c++","35"
"c#","iis","35"
"c#","razor","34"
"c#","itext","31"
"c#","linux","31"
"c#","uwp","31"
"c#","masstransit","31"
"c#","performance","30"
"c#","pdf","30"
"c#","powershell","29"
"c#","asp.net-core-8","29"
"c#","logging","29"
"c#","ios","29"
"c#","asp.net-core-identity","28"
"c#","mongodb","28"
"c#","html","28"
"c#","dotnet-aspire","28"
"c#","reflection","28"
"c#","moq","28"
"c#","task","28"
"c#","webforms","28"
"c#","inheritance","28"
"c#","wcf","27"
"c#","serilog","27"
"c#","razor-pages","26"
"c#","serialization","25"
"c#","roslyn","25"
"c#","dll","25"
"c#","windows-app-sdk","24"
"c#","microsoft-graph-sdks","24"
"c#","sql","24"
"c#",".net-10.0","24"
"c#","arrays","24"
"c#","amazon-web-services","24"
"c#","azure-devops","24"
"c#","regex","23"
"c#","datagrid","23"
"c#","rabbitmq","23"
"c#","npgsql","23"
"c#","com","23"
"c#","ef-core-8.0","23"
"c++","c++20","313"
"c++","templates","258"
"c++","language-lawyer","244"
"c++","windows","225"
"c++","cmake","213"
"c++","winapi","174"
"c++","qt","163"
"c++","c++23","155"
"c++","c++17","153"
"c++","multithreading","144"
"c++","boost","131"
"c++","gcc","119"
"c++","linux","101"
"c++","boost-asio","97"
"c++","clang","94"
"c++","visual-studio","93"
"c++","visual-c++","90"
"c++","c","85"
"c++","c++-concepts","83"
"c++","c++11","79"
"c++","visual-studio-code","70"
"c++","atomic","65"
"c++","python","65"
"c++","std","64"
"c++","g++","57"
"c++","constexpr","55"
"c++","std-ranges","49"
"c++","pointers","48"
"c++","visual-studio-2022","47"
"c++","cuda","46"
"c++","arrays","45"
"c++","undefined-behavior","45"
"c++","dll","43"
"c++","inheritance","42"
"c++","performance","41"
"c++","algorithm","41"
"c++","c++-modules","40"
"c++","debugging","40"
"c++","variadic-templates","40"
"c++","macos","37"
"c++","opengl","37"
"c++","linker","36"
"c++","lambda","36"
"c++","vector","36"
"c++","c++26","35"
"c++","c#","35"
"c++","arduino","34"
"c++","qt6","33"
"c++","android","32"
"c++","stdatomic","32"
"c++","constructor","31"
"c++","stdvector","31"
"c++","optimization","31"
"c++","gdb","31"
"c++","mfc","30"
"c++","iterator","30"
"c++","opencv","29"
"c++","exception","29"
"c++","c++-coroutine","28"
"c++","memory","28"
"c++","vulkan","27"
"c++","clang++","27"
"c++","memory-management","27"
"c++","clion","27"
"c++","compiler-errors","27"
"c++","sfml","27"
"c++","stl","27"
"c++","class","26"
"c++","boost-beast","25"
"c++","compiler-optimization","25"
"c++","memory-barriers","24"
"c++","googletest","24"
"c++","unreal-engine5","24"
"c++","windows-shell","24"
"c++","standards","23"
"c++","template-meta-programming","23"
"c++","string","23"
"c++","polymorphism","23"
"c++","network-programming","23"
"c++","operator-overloading","22"
"c++","reference","22"
"c++","c++14","22"
"c++","c++-chrono","22"
"c++","pybind11","22"
"c++","shared-libraries","22"
"c++","glfw","21"
"c++","eigen","21"
"c++","constants","21"
"c++","openmp","21"
"c++","qml","21"
"c++","std-filesystem","20"
"c++","lifetime","20"
"c++","sdl","20"
"c++","sfinae","20"
"c++","function","20"
"c++","move-semantics","20"
"c++","struct","20"
"c++","qt5","19"
"c++","type-traits","19"
"c++","parallel-processing","19"
"go","json","20"
"go","goroutine","19"
"go","postgresql","19"
"go","docker","18"
"go","go-gorm","18"
"go","kubernetes","18"
"go","linux","18"
"go","cgo","15"
"go","fyne","14"
"go","http","13"
"go","grpc","13"
"go","windows","13"
"go","struct","12"
"go","go-gin","12"
"go","generics","11"
"go","database","10"
"go","arrays","10"
"go","mongodb","10"
"go","concurrency","10"
"go","macos","9"
"go","visual-studio-code","8"
"go","apache-kafka","8"
"go","go-fiber","8"
"go","google-cloud-platform","8"
"go","c","7"
"go","aws-lambda","7"
"go","redis","7"
"go","sqlc","7"
"go","go-modules","6"
"go","unit-testing","6"
"go","go-templates","6"
"go","ssh","6"
"go","html","6"
"go","amazon-web-services","6"
"go","interface","6"
"go","channel","6"
"go","dictionary","6"
"go","goland","6"
"go","protocol-buffers","6"
"go","xml","5"
"go","docker-compose","5"
"go","grpc-go","5"
"go","amazon-s3","5"
"go","sqlite","5"
"go","delve","5"
"go","orm","5"
"go","graphql","5"
"go","terminal","5"
"go","webrtc","5"
"go","git","5"
"go","unmarshalling","5"
"go","swagger","4"
"go","pgx","4"
"go","slice","4"
"go","logging","4"
"go","tcp","4"
"go","winapi","4"
"go","pointers","4"
"go","deadlock","4"
"go","controller-runtime","4"
"go","testing","4"
"go","open-telemetry","4"
"go","azure","4"
"go","backend","4"
"go","sql","4"
"go","flutter","4"
"go","google-cloud-pubsub","4"
"go","go-cobra","4"
"go","reactjs","4"
"go","websocket","4"
"go","io","3"
"go","common-expression-language","3"
"go","udp","3"
"go","open-telemetry-collector","3"
"go","python","3"
"go","cors","3"
"go","gorilla","3"
"go","c++","3"
"go","rust","3"
"go","environment-variables","3"
"go","mocking","3"
"go","confluent-kafka-go","3"
"go","mysql","3"
"go","plugins","3"
"go","command-line-interface","3"
"go","metrics","3"
"go","wails","3"
"go","golangci-lint","3"
"go","gqlgen","3"
"go","gcc","3"
"go","kubernetes-custom-resources","3"
"go","go-http","3"
"go","cookies","3"
"go","memory","3"
"go","sockets","3"
"go","ffi","3"
"go","file","3"
"go","google-cloud-build","3"
"go","abstract-syntax-tree","3"
"go","pty","3"
"java","spring-boot","1301"
"java","spring","851"
"java","android","492"
"java","maven","376"
"java","hibernate","305"
"java","gradle","193"
"java","kotlin","190"
"java","jpa","181"
"java","javafx","155"
"java","swing","149"
"java","intellij-idea","136"
"java","spring-data-jpa","133"
"java","eclipse","123"
"java","quarkus","109"
"java","spring-security","96"
"java","postgresql","94"
"java","selenium-webdriver","93"
"java","apache-kafka","90"
"java","docker","85"
"java","multithreading","81"
"java","jackson","76"
"java","tomcat","74"
"java","junit","73"
"java","spring-mvc","65"
"java","spring-webflux","64"
"java","xml","64"
"java","android-studio","62"
"java","flutter","61"
"java","jdbc","60"
"java","mockito","58"
"java","amazon-web-services","58"
"java","ssl","53"
"java","spring-kafka","52"
"java","lombok","52"
"java","json","50"
"java","jvm","49"
"java","rest","48"
"java","visual-studio-code","47"
"java","unit-testing","46"
"java","pdfbox","46"
"java","junit5","46"
"java","mapstruct","46"
"java","generics","45"
"java","apache-camel","45"
"java","sql","45"
"java","azure","44"
"java","apache-flink","42"
"java","oracle-database","41"
"java","openapi","40"
"java","keycloak","40"
"java","testing","40"
"java","algorithm","39"
"java","apache-spark","39"
"java","arrays","38"
"java","redis","37"
"java","jar","37"
"java","javascript","37"
"java","java-21","36"
"java","minecraft","36"
"java","apache-poi","36"
"java","concurrency","35"
"java","mongodb","35"
"java","logging","34"
"java","macos","34"
"java","windows","33"
"java","amazon-s3","33"
"java","pdf","33"
"java","scala","32"
"java","linux","32"
"java","java-stream","31"
"java","spring-data","31"
"java","spring-batch","31"
"java","graalvm","30"
"java","jaxb","30"
"java","project-reactor","29"
"java","pom.xml","29"
"java","database","29"
"java","testcontainers","29"
"java","html","29"
"java","spring-ai","28"
"java","java-17","28"
"java","thymeleaf","28"
"java","microservices","28"
"java","swagger","27"
"java","exception","27"
"java","performance","27"
"java","jboss","27"
"java","itext","27"
"java","awt","26"
"java","oauth-2.0","25"
"java","encryption","24"
"java","websocket","24"
"java","log4j2","23"
"java","python","23"
"java","caching","23"
"java","wildfly","23"
"java","dependency-injection","22"
"java","authentication","22"
"java","annotations","22"
"java","groovy","22"
"javascript","html","1119"
"javascript","reactjs","1089"
"javascript","css","678"
"javascript","typescript","580"
"javascript","node.js","544"
"javascript","next.js","292"
"javascript","jquery","251"
"javascript","react-native","229"
"javascript","angular","228"
"javascript","vue.js","184"
"javascript","firebase","122"
"javascript","php","117"
"javascript","arrays","109"
"javascript","vite","107"
"javascript","google-chrome-extension","104"
"javascript","google-apps-script","102"
"javascript","android","94"
"javascript","python","92"
"javascript","google-chrome","91"
"javascript","express","87"
"javascript","tailwind-css","79"
"javascript","dom","79"
"javascript","vuejs3","78"
"javascript","ios","74"
"javascript","expo","73"
"javascript","svg","71"
"javascript","three.js","69"
"javascript","webpack","67"
"javascript","json","66"
"javascript","google-sheets","64"
"javascript","firebase-authentication","57"
"javascript","ajax","57"
"javascript","svelte","56"
"javascript","wordpress","55"
"javascript","c#","55"
"javascript","frontend","55"
"javascript","npm","54"
