Year,LanguageTag,TargetTag,Quantity
"2024","c#",".net","3878"
"2024","c#","asp.net-core","2178"
"2024","c#","unity-game-engine","1440"
"2024","c#","entity-framework-core","1046"
"2024","c#","asp.net","1031"
"2024","c#",".net-8.0","968"
"2024","c#",".net-core","951"
"2024","c#","wpf","912"
"2024","c#","maui","894"
"2024","c#","blazor","870"
"2024","c#","winforms","741"
"2024","c#","visual-studio","639"
"2024","c#","azure","551"
"2024","c#","asp.net-mvc","467"
"2024","c#","xaml","445"
"2024","c#","asp.net-core-webapi","417"
"2024","c#","entity-framework","417"
"2024","c#","linq","395"
"2024","c#","json","380"
"2024","c#","sql-server","376"
"2024","c#","asp.net-core-mvc","340"
"2024","c#","azure-functions","273"
"2024","c#","javascript","271"
"2024","c#","windows","268"
"2024","c#","blazor-server-side","247"
"2024","c#","android","239"
"2024","c#","dependency-injection","238"
"2024","c#",".net-6.0","235"
"2024","c#","visual-studio-2022","226"
"2024","c#","winui-3","214"
"2024","c#","async-await","211"
"2024","c#","asp.net-web-api","208"
"2024","c#","mvvm","203"
"2024","c#","unit-testing","203"
"2024","c#","generics","191"
"2024","c#","xml","185"
"2024","c#","multithreading","181"
"2024","c#","microsoft-graph-api","181"
"2024","c#","razor","173"
"2024","c#","system.text.json","152"
"2024","c#","json.net","151"
"2024","c#","blazor-webassembly","151"
"2024","c#","razor-pages","147"
"2024","c#","asynchronous","146"
"2024","c#","postgresql","145"
"2024","c#","authentication","142"
"2024","c#","docker","139"
"2024","c#",".net-4.8","138"
"2024","c#","nuget","138"
"2024","c#","sql","134"
"2024","c#","excel","132"
"2024","c#","game-development","127"
"2024","c#","data-binding","125"
"2024","c#","xunit","124"
"2024","c#","dotnet-httpclient","118"
"2024","c#","selenium-webdriver","118"
"2024","c#","html","115"
"2024","c#","iis","115"
"2024","c#","uwp","113"
"2024","c#","jwt","111"
"2024","c#","asp.net-core-8","110"
"2024","c#","powershell","108"
"2024","c#","mongodb","106"
"2024","c#","xamarin","106"
"2024","c#","visual-studio-code","105"
"2024","c#","serialization","104"
"2024","c#","arrays","101"
"2024","c#","signalr","100"
"2024","c#","ios","97"
"2024","c#","winui","97"
"2024","c#","list","96"
"2024","c#","c++","95"
"2024","c#","moq","93"
"2024","c#","reflection","93"
"2024","c#","python","91"
"2024","c#","database","91"
"2024","c#","swagger","90"
"2024","c#","rest","89"
"2024","c#","datagridview","89"
"2024","c#","asp.net-identity","87"
"2024","c#","automapper","86"
"2024","c#","dll","86"
"2024","c#","serilog","86"
"2024","c#","string","85"
"2024","c#","mudblazor","85"
"2024","c#","msbuild","85"
"2024","c#","performance","85"
"2024","c#","exception","85"
"2024","c#","inheritance","84"
"2024","c#","console-application","84"
"2024","c#","pdf","84"
"2024","c#","sqlite","82"
"2024","c#","task","82"
"2024","c#","nunit","80"
"2024","c#","avalonia","80"
"2024","c#","datagrid","79"
"2024","c#","regex","79"
"2024","c#","wcf","79"
"2024","c#","jquery","78"
"2024","c#","logging","77"
"2024","c++","templates","689"
"2024","c++","c++20","659"
"2024","c++","cmake","593"
"2024","c++","qt","477"
"2024","c++","c++17","404"
"2024","c++","windows","401"
"2024","c++","winapi","393"
"2024","c++","language-lawyer","384"
"2024","c++","boost","316"
"2024","c++","multithreading","307"
"2024","c++","gcc","264"
"2024","c++","c","257"
"2024","c++","linux","250"
"2024","c++","c++23","245"
"2024","c++","c++11","244"
"2024","c++","visual-studio","236"
"2024","c++","clang","215"
"2024","c++","visual-c++","213"
"2024","c++","python","209"
"2024","c++","visual-studio-code","195"
"2024","c++","pointers","189"
"2024","c++","arrays","185"
"2024","c++","g++","175"
"2024","c++","opencv","162"
"2024","c++","std","156"
"2024","c++","algorithm","155"
"2024","c++","std-ranges","154"
"2024","c++","class","147"
"2024","c++","boost-asio","144"
"2024","c++","c++-concepts","139"
"2024","c++","vector","127"
"2024","c++","dll","127"
"2024","c++","inheritance","125"
"2024","c++","lambda","120"
"2024","c++","constexpr","114"
"2024","c++","visual-studio-2022","112"
"2024","c++","opengl","110"
"2024","c++","string","108"
"2024","c++","linker","107"
"2024","c++","macos","104"
"2024","c++","performance","104"
"2024","c++","constructor","102"
"2024","c++","mfc","101"
"2024","c++","compiler-errors","101"
"2024","c++","memory","98"
"2024","c++","c#","95"
"2024","c++","eigen","91"
"2024","c++","debugging","91"
"2024","c++","oop","90"
"2024","c++","sfml","90"
"2024","c++","stl","90"
"2024","c++","android","89"
"2024","c++","cuda","88"
"2024","c++","variadic-templates","87"
"2024","c++","stdvector","83"
"2024","c++","function","83"
"2024","c++","optimization","80"
"2024","c++","arduino","79"
"2024","c++","iterator","76"
"2024","c++","assembly","74"
"2024","c++","operator-overloading","72"
"2024","c++","template-meta-programming","72"
"2024","c++","struct","71"
"2024","c++","atomic","70"
"2024","c++","c++14","70"
"2024","c++","data-structures","68"
"2024","c++","sockets","67"
"2024","c++","esp32","67"
"2024","c++","exception","67"
"2024","c++","googletest","66"
"2024","c++","reference","66"
