title,company,location,description,it_subfield,job_url,date_posted
FastAPI Backend Developer Contract Role with FullTime,GenieX,"Thành phố Hồ Chí Minh, SG, VN","#### **Thông tin tuyển dụng**


* + Vị trí
	
	
	Nhân viên
	+ Hạn nộp
	
	
	31/01/2026
	+ Số lượng cần tuyển
	
	
	20 người
	+ Giới tính
	
	
	Không yêu cầu
	+ Kinh nghiệm
	
	
	Không yêu cầu kinh nghiệm
	+ Bằng cấp
	
	
	Cao đẳng
	+ Nơi làm việc
	
	
	Việc làm tại nhà
	+ Lĩnh vực
	
	
	IT/CNTT \- IT Phần mềm
#### **Mô tả công việc**


**MÔ TẢ CÔNG VIỆC:**


Were hiring a **FastAPI Backend Developer** to design and build scalable backend systems and APIs for modern web applications.


If you enjoy working with Python, FastAPI, and asynchronous architectures and have experience structuring clean APIs, background tasks, and data models wed love to hear from you.

**NHIỆM VỤ CHÍNH:**

* Design, develop, and maintain scalable backend systems using FastAPI
* Model and validate data with Pydantic and SQLAlchemy
* Build modular, extensible APIs for internal and external integrations
* Implement background tasks, workers, and job queues with Celery or Dramatiq
* Collaborate with frontend and DevOps engineers for seamless integrations and deployments
* Write clean, testable, and maintainable code following best practices
* Participate in architecture discussions, code reviews, and optimization efforts

**YÊU CẦU:**

* Strong experience in Python backend development (FastAPI preferred)
* 3\+ years of hands\-on experience building APIs and backend systems
* Proficient with Pydantic, SQLAlchemy, and relational database design (PostgreSQL preferred)
* Solid understanding of asynchronous programming, background tasks, and distributed processing (Celery/Dramatiq)
* Experience integrating third\-party APIs and handling complex business workflows
* Familiarity with Docker, CI/CD pipelines, and cloud deployment environments (AWS, GCP, or Railway)
* Comfortable writing unit/integration tests and working in structured version control workflows (Git/GitHub)

**Bonus Skills :**

* Familiarity with event\-driven architectures and message brokers (Redis, RabbitMQ, etc.)
* Exposure to Next.js or frontend frameworks (not required but nice to have)

**QUYỀN LỢI ĐƯỢC HƯỞNG:**


Quyền lợi dành cho ứng viên bao gồm: Làm việc tại nhà, Văn Hóa Công Ty Tốt và Team Building.


geniex là công ty Cá nhân đang hoạt động lĩnh vực IT Phần mềm tại Đồng Tháp. Hiện tại chúng tôi đang cần tuyển vị trị trí ""FastAPI Backend Developer Contract Role with FullTime"" với các kỹ năng như Python, SQL, Back End. Bạn sẽ được hưởng các chế độ phúc lợi như Làm việc tại nhà, Văn Hóa Công Ty Tốt khi làm việc tại geniex.
Xem thêm
#### **Quyền lợi được hưởng**


Làm việc tại nhà Văn Hóa Công Ty Tốt Team Building
#### **Từ khóa**


Backend Developer Developer Full Stack Senior Developer IT Support
#### **Kỹ năng**


Python SQL Back End Docker AWS",Web_Development,https://vn.indeed.com/viewjob?jk=0b3285062f434ed5,2026-01-02
Web Developer,APETECHS JOINT STOCK COMPANY,"Thành phố Hồ Chí Minh, SG, VN","**1\. Key Responsibilities:**

* Develop and maintain scalable web applications using React, JavaScript, TypeScript, HTML5, and CSS3
* Implement responsive and adaptive designs across a range of devices and screen sizes
* Integrate RESTful APIs and work with modern frontend build pipelines
* Collaborate in an agile environment to deliver features from concept to production
* Write clean, maintainable, and testable code
* Troubleshoot and resolve issues, optimizing performance and usability
* Participate in code reviews and contribute to continuous improvement efforts

**2\. Required Skills:**

* Proficiency in React, JavaScript, TypeScript, HTML5, and CSS3
* Experience with responsive and adaptive design principles
* Familiarity with RESTful APIs and modern frontend build tools (e.g., Webpack, Vite)
* Strong problem\-solving skills and high attention to detail
* Excellent communication and teamwork abilities

**3\. Preferred Qualifications:**

* Experience working with the Remix framework
* Knowledge of the Mantine UI library
* Familiarity with state management libraries such as Redux or MobX
* Understanding of web accessibility standards and best practices (e.g., WCAG)

**4\. Benefits**

* Competitive salary, negotiable based on skills and experience
* Opportunities for professional development and career advancement.
* Collaborative, dynamic, and supportive working environment.

Job Type: Full\-time",Web_Development,https://vn.indeed.com/viewjob?jk=e2a81f98affdcd70,2026-01-02
"Senior Full Stack Developer (JavaScript, TypeScript)",SAP,"Thành phố Hồ Chí Minh, SG, VN","**We help the world run better**

At SAP, we enable you to bring out your best. Our company culture is focused on collaboration and a shared passion to help the world run better. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose\-driven and future\-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from.

**What you’ll do**


Ready to lead the UX revolution? As a Senior Developer, you’ll architect the next generation of enterprise user experiences while building and leading a world\-class team in Ho Chi Minh City. You’ll ensure customers, partners, and users get the benefits of a consistent, innovative user experience across all their touchpoints with the SAP ecosystem, while taking technical leadership in one of Asia’s most dynamic tech markets.

**Roles \& Responsibilities**

* **Technical Architecture and Leadership:** Design and build scalable systems that serve millions of users across 50\+ countries, architecting micro\-frontend systems. You’ll collaborate with colleagues around the world to solve complex customer problems through innovative platform solutions, lead integration of cutting\-edge AI technologies into user interfaces, and drive breakthrough technologies from concept to global deployment. Your architectural decisions will impact SAP’s entire UX strategy worldwide.
* **Team Leadership and Development:** Build and mentor Vietnam’s next generation of UX engineering talent while establishing technical roadmaps and best practices. You’ll hire, develop, and lead engineering teams, make critical architectural decisions for large\-scale systems, and translate technical solutions into measurable business value. Lead cross\-cultural teams across multiple time zones to deliver solutions that directly impact customer satisfaction and success.
* **Innovation and Strategic Impact:** Drive SAP’s next\-generation UX platform strategy and establish Ho Chi Minh City as a recognized center of UX excellence. You’ll pioneer new ways customers interact with enterprise applications, develop predictive UX systems utilizing emerging technologies, and represent SAP at major tech conferences and industry events. Lead breakthrough projects that set new standards for enterprise user experience.

**What you bring**

* **Technical Mastery:**
	+ 7\+ years of senior frontend development experience
	+ Expert\-level TypeScript/JavaScript with deep understanding of language internals
	+ Advanced React/Vue ecosystem experience, preferably with SAPUI5
	+ Full\-stack capabilities with Node.js, Python, or Java/ABAP backend experience
	+ Cloud architecture experience with enterprise\-scale applications
	+ DevOps expertise including CI/CD, containerization, and infrastructure as code
* **Leadership Excellence:**
	+ Team building experience with hiring, mentoring, and developing engineering teams
	+ Technical strategy track record making architectural decisions for large\-scale systems
	+ Cross\-cultural leadership success with distributed teams across multiple time zones
	+ Business impact experience translating technical solutions into business value
	+ Technical communication ability to present complex concepts to diverse audiences
* **Innovation Track Record:**
	+ Breakthrough projects leading development of innovative products or features
	+ Technical thought leadership through published articles, conference speaking, or open source contributions
	+ Research \& development experience with emerging technologies and experimental projects
	+ Industry recognition through awards, patents, or significant tech community contributions

**Meet your team**


The UX Foundation team in Ho Chi Minh City is where high energy meets family vibes! We’re a tight\-knit group of developers, designers, and product folks who move fast, support each other, and celebrate every win together. Think startup energy with enterprise impact \- we ship features that millions use while maintaining the kind of team culture where everyone has each other’s backs.


Whether we’re solving complex customer problems or celebrating a successful product release, we do it as a family. You’ll find us collaborating across time zones with our colleagues in Silicon Valley, Dublin, and Germany, mentoring each other, and always ready to jump in when someone needs help. It’s the kind of team where your technical expertise drives global innovation, your leadership shapes the future, and your impact gets amplified across the entire organization.


Our modern office in HCMC’s tech district features gaming zones, a rooftop garden, and collaboration spaces designed for both focused development work and strategic planning sessions. We believe in flexible hybrid work, international conference participation, and creating an environment where technical excellence thrives naturally while always keeping customer success at the center of everything we do.


\#SAPLabsVietnamCareers


**Bring out your best**


SAP innovations help more than four hundred thousand customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end\-to\-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with two hundred million users and more than one hundred thousand employees worldwide, we are purpose\-driven and future\-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. At SAP, you can bring out your best.

**We win with inclusion**


SAP’s culture of inclusion, focus on health and well\-being, and flexible working models help ensure that everyone – regardless of background – feels included and can run at their best. At SAP, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. We ultimately believe in unleashing all talent and creating a better and more equitable world.  

SAP is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to the values of Equal Employment Opportunity and provide accessibility accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e\-mail with your request to Recruiting Operations Team: Careers@sap.com  

For SAP employees: Only permanent roles are eligible for the SAP Employee Referral Program, according to the eligibility rules set in the SAP Referral Policy. Specific conditions may apply for roles in Vocational Training.

**EOE AA M/F/Vet/Disability:**


Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, age, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability.  

Successful candidates might be required to undergo a background verification with an external vendor.


Requisition ID: 431850 \| Work Area: Software\-Design and Development \| Expected Travel: 0 \- 10% \| Career Status: Professional \| Employment Type: Regular Full Time \| Additional Locations: \#LI\-Hybrid.",Web_Development,https://vn.indeed.com/viewjob?jk=3b8ce0245fe2f908,2026-01-02
HCM – Fullstack Developer (React.js + Node.Js) – Hybrid Working,VEXERE.COM,"Thành phố Hồ Chí Minh, SG, VN","**(ReactJS \+ NodeJS)**
=======================


### **About Vexere – Revolutionizing the way Vietnam travels**



Vexere is Vietnam’s No.1 online bus ticketing platform, connecting over **2,000 transport operators** and serving **millions of passengers every month**. We pioneer technology to modernize the transportation industry, bringing users a fast, seamless, and optimized booking experience. Beyond buses, Vexere is expanding into **flights, trains, ferries, and car rentals** — giving travelers complete freedom of choice for every journey.


**Our Culture:** At Vexere, we believe our mission is to solve real\-world social problems through technology.  

Our culture is built on openness, collaboration, and community spirit. Every member is encouraged to think freely, share ideas, and take ownership — with the opportunity to grow into future leaders.


**Our Vision:** We aim to become a continuously innovating tech company that revolutionizes transportation and travel across Southeast Asia through AI\-native solutions.  

Every experience — from customer journeys to internal systems — is being reimagined to be smarter, faster, and more human.


**Why Join Us:** Joining Vexere means being part of a young, energetic, and ambitious tech team where you’ll have the freedom to experiment, learn from top engineers, and grow rapidly as we scale. We are proud to be among the few tech companies in Vietnam that have built a full CI/CD architecture with dedicated DevOps engineers, empowering developers to focus on what matters most — building impactful products for millions of users.


### **About the Role**



We’re looking for a **Fullstack Developer (ReactJS \+ NodeJS)** who’s passionate about crafting high\-performance, scalable applications.



You’ll work in a **microservices ecosystem** built with cutting\-edge technologies such as **Kubernetes, Istio Service Mesh, Event Sourcing, and Domain\-Driven Design**.  

Each service is equipped with a dedicated monitoring system to measure API performance, caching efficiency, and database hit rates.



This is a rare opportunity to build on production systems serving **hundreds of thousands of concurrent users**, learn modern architecture, and grow your technical depth in both frontend and backend.


**Our tech stack:**
-------------------


* **Backend:** Node.js / ExpressJs / RabbitMQ / Kafka / MSSQL / PostgreSQL / Redis / Elasticsearch / Docker / Kubernetes / Jenkins
* **Frontend:** React Native / React.js / ES6 / Typescript / Redux / Redux\-Saga / Hooks

**Responsibilities:**
---------------------


* **Develop high\-quality solutions** to meet business requirements by designing, coding, and shipping well\-structured, maintainable software.
* **Identify and address technical debt \& challenges**: Proactively analyze areas for improvement and implement changes to enhance system performance and scalability.
* **Collaborate and share knowledge** within the **Frontend Squad** to maximize team expertise and personal growth.
* **Take ownership**: Lead a team or a product if capable, contributing to technical direction and best practices.

**Requirements:**
-----------------


* ### **Must\-Have:**


	+ Fast learner, able to adapt quickly to new technologies.
	+ **At least 1–3 years** of experience as a Fullstack Developer
	+ Proactive mindset, eager to take initiative and solve problems.
	+ Familiarity with macOS or Linux for development and deployment tasks.
	+ Understanding of our technology stack (no need to master everything, but familiarity is required):
		- Backend: Node.js, PostgreSQL, Redis, Elasticsearch.
		- Frontend: React.js, Redux, Redux\-Saga, Reselect, React Hooks.
	+ Commitment to code quality:
		- Strong experience in code reviews.
		- Familiarity with unit testing best practices.
		- Growth mindset: Ready to grow rapidly as the company scales several times a year.### **Nice\-to\-Have (Plus):**


	+ Deep knowledge of Webpack: Code splitting, asset handling, optimization.
	+ Strong foundation in computer science: Data structures, algorithms, design patterns.
	+ Experience in DevOps tasks: Deployment, scaling, monitoring, and performance tuning.
	+ Familiarity with microservices architecture.

**Benefits:**
-------------


**Competitive Compensation \& Bonuses**


* Attractive salary package with performance\-based monthly bonuses (up to 2 months’ salary per year).
* 100% salary during the probation period.
* Performance reviews **twice a year** with opportunities for salary adjustments.


**Flexible Work \& Growth Opportunities**


* Hybrid working model: Work from home or at the office as needed.
* Work alongside top CTOs, architects, and tech leaders at Vexere.
* Build your public profile through:
* Publishing articles on Medium \& Vexere Techblog under your name.
* Contributing to Open Source projects managed by Vexere.
* Speaking at tech talks and industry events.
* Attractive stock options for dedicated developers and team leads.


**Exclusive Employee Perks**


* Up to 30% discount on bus tickets for Vexere employees and their families.
* 12 days of annual leave, with 1 extra day off every 3 years, convertible into salary.
* Vibrant and dynamic work environment with a friendly, supportive team.
* Training sessions on negotiation, communication, work management, interpersonal skills, and software technology.
* Exciting company activities: Annual trips, team\-building events, year\-end parties, and more.

### **What factors can help you trust Vexere?**



Currently, Vexere is the largest online bus ticketing platform in Vietnam with more than 1000 inter\-city bus companies, covering over 3,000 domestic and cross\-border routes to help users find bus information and buy tickets online easily. At the same time, Vexere also provides reviews of passengers who have traveled these buses. Passengers can simply select their favorite seats, pay online, or pay in cash at convenience stores across the country.



Vexere Bus Management System (BMS) is used by more than 700 bus companies all over the country, helping bus companies to modernize management with effective management, optimized revenue, and costs. This is a revolution in the inter\-city bus industry.



Over 5,000 agents are using Vexere Agent Management System to increase ticket sales and serve their customers better.



Vexere’s efforts have been recognized and accompanied by famous institutional investors such as Woowa Brothers (the company owning Baemin), CyberAgent ventures (Japan), BonAngels (Korea), Pix Vine Capital (Singapore), Spiral Ventures (Japan), Access Ventures (Korea), NCore Ventures (Korea). Two investors of VeXeRe are Decacorns (\>USD10B valuation)


***Review về Vexere***


**For more information, please contact us via:**
------------------------------------------------


* Send your Resume to email: careers@vexere.com, with title: Fullname – Applied Position
* Phone/ Zalo: 0966 197 741 (Mr. Nhật Anh)
* **Office Location**: Vexere Trading Service Co., Ltd – 2nd floor – Building H3, 384 Hoang Dieu, Khanh Hoi Ward, HCMC (District 4\)
* **Working Hours:** 8:30 am – 6:00 pm from Monday to Friday, and Saturday morning.",Web_Development,https://vn.indeed.com/viewjob?jk=baa6e2619b955912,2025-12-31
"Application Developer (.Net Core, C#, HTML, ReactJS)",Gene Solutions,"Thành phố Hồ Chí Minh, SG, VN","**Job description**
-------------------



We are looking for a skilled Application Developer with expertise in .NET Core 8, SQL Server, and Entity Framework to join our development team. The ideal candidate will be responsible for designing, developing, and maintaining secure and high\-performance applications while following best coding practices.**Key Responsibilities*** Develop, enhance, and maintain applications using .NET Core 8, C\#, and Entity Framework.
* Design and implement RESTful APIs with secure authentication using JWT.
* Work with SQL Server, including Stored Procedures, Views, Triggers, and Full\-Text Search.
* Utilize Linq and Entity Framework for efficient data manipulation.
* Implement unit testing to ensure software reliability and maintainability.
* Collaborate with frontend developers to integrate UI components using Ajax, jQuery, React, Angular, Bootstrap, Kendo UI, and Admin LTE.
* Utilize GitHub/GitLab for version control and collaborative development.
* Analyze system requirements and contribute to system architecture design.
* Apply Object\-Oriented Programming (OOP) principles to develop scalable and maintainable applications.
* Ensure adherence to secure coding practices, identifying and fixing vulnerabilities to prevent security threats, including penetration testing risks.
* Work with Redis and RabbitMQ (preferred) for caching and message queuing.


**Your skills and experience**
------------------------------


* Bachelor’s degree in Software Engineering, Computer Science, or a related field.
* 4–5 years of experience working with:

**Frontend**: HTML, Ajax, Jquery, React, Angular,..Bootstrap, Kendo UI, Admin Lte**Backend:*** C\# NET core 6 trở lên
* API, JWT
* Restfull API
* Linq, Entity framework
* SQL Server: Store Procedure, View, Trigger, Full text search,..
* Better to have: Redis, Rabit MQ
* Understand and have solid knowledge of secure coding standards, with experience in fixing vulnerabilities and developing solutions to prevent security issues identified during penetration testing
* Experience in Redis and RabbitMQ
* Experience with frontend technologies such as React, Angular, jQuery, Bootstrap, Kendo UI, and Admin LTE is a plus.
* Strong understanding of OOP principles and system design.
* Familiarity with Redis and RabbitMQ is an advantage.
* Experience in security coding standards and penetration testing is preferred.


**Why you'll love working here**
--------------------------------


* Opportunity to work on cutting\-edge technologies in a fast\-paced environment.
* Collaborative and supportive work culture.
* Competitive salary and benefits package.
* Continuous learning and career growth opportunities.


If you are a passionate developer with strong problem\-solving skills and a commitment to secure, high\-quality coding, we encourage you to apply!",Web_Development,https://vn.indeed.com/viewjob?jk=fd6c38e1e40eb645,2025-12-31
(Senior) Frontend Developer (ReactJS) – Zalo Mini App,Zalo,"Thành phố Hồ Chí Minh, SG, VN","Hồ Chí Minh
Full\-time

### **What you will do**

* Design and develop new features for the Zalo Mini App ecosystem;
* Build high\-performance, scalable web applications using Java and ReactJS;
* Write clean, maintainable, and well\-documented code;
* Collaborate closely with the Product team to define, customize, and deliver user\-facing features;
* Support partners and the developer community in integrating and building Mini Apps.

 ### **What you will need**

* Good understanding of core programming concepts, data structures, and algorithms;
* Experience in developing frontend applications for real\-world products, with a focus on optimizing UI/UX and performance  

Strong problem\-solving and logical thinking skills;
* High sense of ownership, teamwork, and accountability;
* Backend knowledge/experience (Java, RESTful API) is a plus.


**Frontend Skills**
* Experience working with ReactJS (70%) in production environments;
* Solid understanding of modern JavaScript (ES6\+), HTML5, and CSS;
* Experience with state management (e.g., Redux, Context API) and building modular, reusable components;
* Familiar with responsive design, cross\-browser compatibility, and frontend performance optimization;
* Experience with frontend tooling and build systems (Webpack, Babel, Vite, etc.).


**Nice to have**
* Experience in developing SDKs, Frameworks, or Libraries for the developer community is a strong plus.",Web_Development,https://vn.indeed.com/viewjob?jk=9a4a5654c3e61c6a,2025-12-31
Senior Software Engineer,Zalo,"Thành phố Hồ Chí Minh, SG, VN","Hồ Chí Minh
Full\-time

### **What you will do**


As a Senior Full\-Stack Developer, you will play a key role in designing, developing, and maintaining scalable web applications. Your responsibilities will include:
* Develop and maintain applications using Node.js frameworks such as NestJS and Next.js, along with frontend technologies like React.js and Vue.js;
* Apply best practices in Object\-Oriented Programming (OOP) and leverage design patterns to create clean and maintainable code;
* Work with Redis for caching, session management, and other optimization tasks;
* Utilize message queues (e.g., Kafka) to implement message\-driven architecture for asynchronous processing;
* Collaborate with product and engineering teams to understand business challenges and architect effective solutions;
* Design and develop scalable, high\-performance web applications, ensuring functionality, reliability, and security;
* Convert Figma designs into fully functional applications, ensuring pixel\-perfect UI implementation and responsiveness;
* Optimize performance and cost\-efficiency of both frontend and backend systems;
* Work closely with cross\-functional teams to analyze requirements, address feedback, and align technical solutions with business goals.

 ### **What you will need**

* Bachelor's degree in Computer Science, Information Technology, or a related field;
* At least 3 years of experience in web\-based software development;
* Strong understanding of e\-commerce systems;
* Hands\-on experience in both frontend and backend development in real\-world projects;
* Proficiency in Node.js and TypeScript;
* Expertise in ReactJS, VueJS, NestJS and Next.js frameworks;
* Experience working with databases such as MongoDB, MySQL, and PostgreSQL;
* Familiarity with distributed service architectures;
* Experience with ORM (Object\-Relational Mapping) frameworks;
* Strong experience working for caching and performance optimization;
* Proficiency in Git and working with version control workflows (GitHub, GitLab, Bitbucket);
* Experience in CI/CD pipelines for automated deployment and integration processes;
* Experience working with big data technologies such as Hadoop is a strong plus.",Web_Development,https://vn.indeed.com/viewjob?jk=22dc8929ebcefb35,2025-12-31
Senior Frontend Developer,Zalo,"Thành phố Hồ Chí Minh, SG, VN","Hồ Chí Minh
Full\-time


Zalo VAS (Value\-Added Services) delivers new revenue\-driving experiences to 75 million\+ users of Zalo. We’re looking for a Front\-end Developer who loves turning product ideas into fast, elegant interfaces that scale reliably across the Zalo super\-app ecosystem.
### **What you will do**

* Design and develop new features for the Zalo VAS;
* Collaborate closely with Product, Designer and Back\-end teams to define, deliver and customize user interfaces;
* Develop UI using various frontend technologies and frameworks, such as HTML5, Javascript, CSS and Zalo's own frameworks (Miniapp, ZInstant);
* Write clean, maintainable, and well\-documented code;
* Monitor and optimize to ensure the best performance, quality and responsiveness of the interfaces.

 ### **What you will need**

* Minimum 3\+ years of experience as a front\-end software engineer;
* Proficiency in frontend technologies such as HTML5, CSS, JavaScript, and frameworks like ReactJS;
* Familiar with responsive design, cross\-browser compatibility, and frontend performance optimization;
* Excellent of object\-oriented programming, data structures and algorithms;
* Open\-minded, active and eager to learn new technologies;
* Good at problem\-solving skills and creative under high pressure;
* High sense of ownership, teamwork, and accountability.",Web_Development,https://vn.indeed.com/viewjob?jk=d7ada2da54e123d6,2025-12-31
Senior Frontend Developer,Zalo,"Thành phố Hồ Chí Minh, SG, VN","Hồ Chí Minh
Full\-time


### **What you will do**

* **Frontend Development:** Design and develop high\-quality UI/UX for Web Applications and the Zalo Mini App ecosystem.
* **Performance Optimization**: Ensure the application is optimized for speed and scalability across all devices.
* **Integration:** Collaborate with the product team to integrate complex features seamlessly between frontend and backend.

 ### **What you will need**

**Core Frontend Skills:**
* Strong expertise in ReactJS , JavaScript , HTML5, and CSS3;
* Experience with state management libraries (Redux, Context API);
* Familiar with responsive design, cross\-browser compatibility, and frontend performance optimization;
* Excellent of object\-oriented programming, data structures and algorithms;
* Open\-minded, active and eager to learn new technologies;


**Nice to have**
* Proficiency in Java or Python;
* Scalable Backend Architecture: Design and build backend services capable of handling large\-scale traffic and high concurrency;
* Platform: Prior experience with the Zalo Mini App framework;
* Experience CI/CD pipelines and K8s.",Web_Development,https://vn.indeed.com/viewjob?jk=ed350b6cd3932e2d,2025-12-31
(Senior) Lead Frontend Developer,Zalo,"Thành phố Hồ Chí Minh, SG, VN","Hồ Chí Minh
Full\-time


### **What you will do**

* Lead frontend technical direction and own architecture decisions;
* Design and develop high\-quality, scalable features while managing technical debt strategically;
* Plan sprints, assign tasks, support estimation, and review requirements with Product team;
* Conduct code reviews and enforce coding standards to ensure quality and consistency;
* Mentor junior and senior developers on coding practices, design patterns, and problem\-solving;
* Lead knowledge\-sharing sessions and build a culture of continuous learning;
* Act as primary liaison between Frontend, Product, Backend, QA, and Design teams;
* Develop user interfaces using HTML5, JavaScript, CSS, ReactJS, and Zalo's frameworks (Miniapp, ZInstant);
* Evaluate and adopt new technologies to improve build time, CI/CD, and development efficiency;
* Drive performance optimization initiatives (load time, rendering, bundle size, responsiveness);
* Monitor and ensure the best performance, quality, and responsiveness of interfaces.


### **What you will need**

* 2\-4\+ years of frontend development experience;
* (For Lead) 2\+ years in technical leadership role (Tech Lead, Senior/Lead Developer);
* Solid understanding of OOP principles, design patterns, and data structures \& algorithms;
* Deep expertise in modern frontend technologies: HTML5, CSS, JavaScript (ES6\+), and frameworks like ReactJS;
* Strong knowledge of responsive design, cross\-browser compatibility, and performance optimization;
* Proficiency with modern frontend tooling (Webpack, Vite, npm/yarn) and state management (Redux, Context API);
* Experience with CSS preprocessors (Sass, Less) and CSS\-in\-JS solutions;
* Proven experience optimizing web performance: bundle size, load time, rendering, memory usage;
* Excellent communication and cross\-functional collaboration skills;
* Experience in leading and mentoring team members with focus on their career growth and skill development;
* Strong sense of ownership, open\-mindedness, and passion for continuous learning;
* Team player who can work both independently and collaboratively;",Web_Development,https://vn.indeed.com/viewjob?jk=979f573f77e516b9,2025-12-31
