id,creation_date,title,tags,view_count,score,answer_count,comment_count
"79344101","2025-01-09 21:39:02","How can I resolve the ""'Docker.app' will damage your computer"" warning on macOS?","<docker><macos>","95928","116","16","1"
"79359919","2025-01-15 22:43:06","How can I download .vsix files now that the Visual Studio Code Marketplace no longer supplies them in-browser?","<visual-studio-code>","71921","41","7","6"
"79383705","2025-01-24 08:40:25","Cannot build frontend using Vite, TailwindCSS with PostCSS","<reactjs><tailwind-css><vite><postcss><tailwind-css-4>","70265","26","4","2"
"79340672","2025-01-08 20:27:25","“com.docker.socket” was not opened because it contains malware","<docker><macos><docker-desktop>","69658","110","5","5"
"79360526","2025-01-16 06:01:36","uninitialized constant ActiveSupport::LoggerThreadSafeLevel::Logger (NameError)","<ruby-on-rails><ruby><rubygems>","67581","83","13","2"
"79344035","2025-01-09 21:04:59","How to add requirements.txt to uv environment","<python><python-venv><uv>","61267","48","1","0"
"79339258","2025-01-08 13:04:41","NVM installation error on Windows. Cannot find the npm file","<node.js><windows><nvm>","52027","52","4","0"
"79380514","2025-01-23 09:41:16","Problem installing TailwindCSS after `npx tailwindcss init` command - tailwindcss not recognized - npm error could not determine executable to run","<javascript><npm><tailwind-css><vite><tailwind-css-4>","40573","22","8","4"
"79420272","2025-02-07 08:56:58","How to view SVG source code now, with latest January 2025 (version 1.97)","<visual-studio-code><svg>","38376","76","1","1"
"79489946","2025-03-06 15:59:06","While installing tailwind CSS I am having this error 'npm error could not determine executable to run'","<javascript><reactjs><node.js><tailwind-css><tailwind-css-4>","37230","16","4","5"
"79483040","2025-03-04 08:17:15","Do you have to (ASDF:load-system :xxxx) and (ql:quickload :yyyy) everytime you want to work?","<build><common-lisp><dependency-management><asdf><quicklisp>","35405","3","2","2"
"79372334","2025-01-20 18:29:46","Blocked request. This host (""frontend_web"") is not allowed","<reactjs><node.js><nginx><dockerfile><vite>","34617","23","5","2"
"79534856","2025-03-25 20:56:35","Cannot build CMake project because ""Compatibility with CMake < 3.5 has been removed from CMake.""","<cmake>","33769","15","2","4"
"79383758","2025-01-24 08:56:31","How to set Tailwind CSS v4 global class?","<css><tailwind-css><vite><tailwind-css-4>","32467","15","1","0"
"79421516","2025-02-07 16:12:17","What does ""Content unavailable. Resource was not cached"" mean in the Chrome DevTools?","<google-chrome><google-chrome-devtools><chromium>","32236","10","1","0"
"79474930","2025-02-28 08:36:10","uv: command not found in Visual Studio Code on Windows","<uv>","32151","3","3","1"
"79538298","2025-03-27 08:46:12","Flutter Web, random TypeError: Cannot read properties of undefined (reading 'foo') error","<flutter><compilation>","29932","2","1","0"
"79380519","2025-01-23 09:44:01","How to upgrade TailwindCSS?","<css><angular><sass><tailwind-css><tailwind-css-4>","29704","22","9","1"
"79480218","2025-03-03 05:15:05","Python Package Installation Fails: 'Getting requirements to build wheel did not run successfully'","<python><python-3.x><pip>","25000","4","1","6"
"79374322","2025-01-21 12:00:54","ImportError: cannot import name 'cached_download' from 'huggingface_hub'","<huggingface-hub><diffusers>","24486","5","1","0"
"79499818","2025-03-11 06:22:57","How to use custom color themes in TailwindCSS v4","<reactjs><next.js><tailwind-css><tailwind-css-4>","24142","16","3","1"
"79427624","2025-02-10 15:54:30","Cannot apply unknown utility class rounded-r-lg, but it's a valid TailwindCSS class","<vue.js><tailwind-css><flowbite><tailwind-css-3>","22175","9","4","2"
"79335513","2025-01-07 09:46:41","Error fix : Dbeaver driver error : Maven artifact:org.postgresql:postgresql:RELEASE' can't be resolved in External Repositories","<postgresql><dbeaver>","22142","9","5","1"
"79498214","2025-03-10 13:55:29","How to fix Tailwind PostCSS plugin error?","<reactjs><tailwind-css><vite><postcss><tailwind-css-4>","21882","13","2","7"
"79418598","2025-02-06 16:05:57","How to do install my custom package in editable mode, with uv","<python><pip><uv>","19538","7","4","4"
"79537819","2025-03-27 04:18:22","What is the command to install pytorch with cuda 12.8?","<python><pytorch>","18986","4","6","0"
"79370109","2025-01-20 01:32:55","GitHub Copilot Chat Sign in failed Issue in IDEA 2024.1 on Windows 10","<intellij-idea><github-copilot>","18166","6","1","2"
"79537186","2025-03-26 20:14:43","How do I fix ""Unsupported class file major version 68""?","<intellij-idea>","17385","2","2","2"
"79439447","2025-02-14 12:56:15","How to Fix -- > java.lang.reflect.InaccessibleObjectException: Unable to make field static final boolean java.io.FileSystem.useCanonCaches","<spring><spring-boot>","16930","4","2","0"
"79332816","2025-01-06 10:57:32","Uncaught Error: java.io.IOException: Failed to download remote update","<android><react-native><expo><npx><expo-go>","16889","6","8","1"
"79513015","2025-03-16 18:16:30","Tailwind CSS v4 - Unknown at rule @plugin, @custom-variant, @theme, @utility, @variant, @apply, @source, @reference in global.css","<visual-studio-code><tailwind-css><tailwind-css-4><tailwind-css-intellisense>","16632","8","4","1"
"79534396","2025-03-25 17:13:30","""spawn npx ENOENT spawn npx ENOENT"" Error in Cline VSCode MCP Server Connection","<node.js><json><artificial-intelligence><vscode-extensions><npx>","16379","5","5","1"
"79363302","2025-01-16 23:28:45","How to disable svg preview in VS Code 1.97+","<visual-studio-code><svg>","15587","79","5","1"
"79366942","2025-01-18 10:12:47","How to change GitHub Copilot model in IntelliJ?","<intellij-idea><openai-api><intellij-plugin><github-copilot>","15489","16","1","0"
"79428475","2025-02-10 22:37:47","AWS Bedrock: cannot invoke Anthropic Claude Sonnet 3.5 v2 model, raises error ""Invocation of model ID with on-demand throughput isn’t supported.""","<amazon-web-services><large-language-model><amazon-bedrock><claude>","15071","4","3","0"
"79441290","2025-02-15 09:51:26","ESLint Rule to Warn on Typescript's erasableSyntaxOnly flag","<typescript><eslint><tsconfig><typescript-eslint>","15006","8","2","0"
"79487101","2025-03-05 16:33:07","TailwindCSS v4 dark theme by class not working without dark tag","<html><css><tailwind-css><vite><tailwind-css-4>","14674","9","2","1"
"79449267","2025-02-18 18:25:58","How to download and offline install Visual Studio 2022 version update?","<upgrade><visual-studio-2022>","14371","3","2","1"
"79357760","2025-01-15 10:00:14","How to Fix 'Cannot find module lightningcss.win32-x64-msvc.node' Error in NativeWind?","<node.js><react-native><npm><tailwind-css><nativewind>","13951","2","2","2"
"79366678","2025-01-18 06:59:22","AttributeError: 'FigureCanvasInterAgg' object has no attribute 'tostring_rgb'. Did you mean: 'tostring_argb'?","<python><matplotlib>","13447","13","2","0"
"79338283","2025-01-08 07:37:29","yfinance - how to obtain the Adj Close price?","<yfinance>","13094","6","3","5"
"79323991","2025-01-02 14:19:18","How is it possible to specify a safelist in TailwindCSS v4? Is it possible to list patterns and variants instead of full class names?","<tailwind-css><tailwind-css-4>","12934","19","4","4"
"79393879","2025-01-28 12:46:25","Error Installing Shadcn UI and Tailwind CSS in React.js Project with Vite","<javascript><reactjs><tailwind-css><shadcnui><tailwind-css-4>","12876","8","4","5"
"79412989","2025-02-04 20:40:56","How to configure TailwindCSS 4 to work with an Angular 19 app that uses Sass","<angular><sass><tailwind-css><tailwind-css-4>","12833","11","3","3"
"79404571","2025-02-01 07:13:59","Why am I getting ""model_not_found"" error when using OpenAI's o3-mini model?","<error-handling><openai-api><chatgpt-api><openaiembeddings>","12407","8","2","0"
"79394239","2025-01-28 14:52:35","VSCode Tailwind CSS Intellisense autocompletion and suggestions not working after installing Tailwind v4","<visual-studio-code><tailwind-css><intellisense><autosuggest><tailwind-css-4>","12348","14","14","3"
"79465960","2025-02-25 09:12:10","React: ""A param property was accessed directly with params""","<next.js><nextjs-15>","11939","13","2","2"
"79383234","2025-01-24 04:36:38","Google play console submit permissions error","<android><react-native><expo><google-play-console><eas>","11612","10","5","0"
"79411275","2025-02-04 10:10:08","After Heroku restart: pnpm: Error: Cannot find matching keyid","<node.js><docker><heroku><pnpm><corepack>","11302","9","3","1"
"79439889","2025-02-14 15:48:19","Getting deprecation warning using firebase in react native","<firebase><react-native><google-cloud-firestore><react-native-firebase>","10829","3","4","3"
"79376487","2025-01-22 03:48:02","Trying to create react app with React v19.0.0 but getting error","<reactjs><node.js><npm><npx>","10752","2","2","1"
"79326623","2025-01-03 13:40:28","Error after updating logback to version ^1.5.13","<java><spring><tomcat><logback>","10678","6","5","0"
"79320979","2025-01-01 00:35:37","How to resolve NET MAUI workload version mismatch?","<c#><.net><maui><maui-blazor>","10545","8","2","2"
"79361075","2025-01-16 09:59:00","Selenium: probably user data directory is already in use, please specify a unique value for --user-data-dir argument, or don't use --user-data-dir","<selenium-webdriver>","10414","5","6","0"
"79404124","2025-01-31 22:33:11","Is there a way to check console on Bruno?","<bruno>","10408","11","1","1"
"79533324","2025-03-25 10:13:07","How can I install a local package with UV?","<python><toml><uv>","10321","9","1","0"
"79368095","2025-01-18 22:56:09","How can I toggle the GitHub Copilot Chat panel in VS Code using a keyboard shortcut?","<visual-studio-code><hotkeys><github-copilot>","9753","5","4","1"
"79506286","2025-03-13 11:18:17","How can I run a uv pytest tool with proper dependencies and module paths?","<python><testing><pytest><tdd><uv>","9655","3","2","1"
"79327621","2025-01-03 20:36:41","Why does pasting text into VS Code take several seconds to complete?","<visual-studio-code>","9611","32","4","9"
"79394208","2025-01-28 14:41:12","How to add tw- prefix to Tailwind CSS classes in a React Vite project with Tailwind CSS v4?","<reactjs><tailwind-css><vite><tailwind-css-4>","9508","7","1","1"
"79538511","2025-03-27 10:08:25",".github/copilot-instructions.md support for IntelliJ","<intellij-idea><github-copilot>","9498","12","4","0"
"79468329","2025-02-26 02:07:55","Adding tailwindcss to an upgraded Vite v6 codebase causes ERROR Failed to resolve ""@tailwindcss/vite""","<reactjs><tailwind-css><vite><daisyui>","9413","13","3","0"
"79450295","2025-02-19 05:41:42","yfinance 429 Client Error: Too Many Requests for url","<python><yfinance>","9367","8","0","8"
"79340547","2025-01-08 19:31:23","How to import nested modules with uv","<python><uv>","9363","3","2","8"
"79389181","2025-01-26 19:37:22","How the container padding will use in Tailwind CSS v4","<css><containers><tailwind-css><vite><tailwind-css-4>","9017","7","2","0"
"79393540","2025-01-28 11:02:05","How to use @keyframes in Tailwind CSS version 4?","<tailwind-css><tailwind-css-4>","9009","11","1","2"
"79530744","2025-03-24 09:58:45","Export Replit project to own hosting","<export><replit><self-hosting>","8786","4","1","2"
"79430960","2025-02-11 18:12:06","""Compose Compiler requires Kotlin version"" in Expo Bare Workflow","<react-native><kotlin><gradle><expo><jetbrains-compose>","8745","3","4","2"
"79480745","2025-03-03 10:23:08","Copilot Edits Agent Mode Dropdown Missing in VSCode Insiders","<visual-studio-code><chat><settings><agent><github-copilot>","8700","7","4","0"
"79341581","2025-01-09 06:37:25","Error installing boost Verification checksum was incorrect, expected error","<javascript><react-native><rubygems><cocoapods>","8662","4","1","0"
"79429744","2025-02-11 11:04:17","SpecFlow Extension for Visual Studio 2022 No Longer Available on Marketplace","<visual-studio><visual-studio-2022><specflow>","8623","8","1","3"
"79502552","2025-03-12 03:03:48","Unknown word ""use strict"" error by upgrading TailwindCSS from v3 to v4","<reactjs><tailwind-css><vite>","8610","2","1","1"
"79525654","2025-03-21 13:49:58","Errors after updating Java 23 and JavaFX 22 to Java 24 and JavaFX 24","<java><javafx>","8468","5","1","4"
"79472876","2025-02-27 13:47:56","Cannot destructure property 'pos' of 'file.referencedFiles[index]' as it is undefined while building the project","<angular>","8445","11","8","0"
"79442978","2025-02-16 10:40:38","Issues with padding, margin, and space utilities not working","<tailwind-css><tailwind-ui><tailwind-css-4><tailwind-elements>","8435","8","4","7"
"79329145","2025-01-04 16:01:29","How to import svg icons in Nextjs 15","<reactjs><next.js><svg><nextjs14>","8339","7","4","0"
"79416157","2025-02-05 20:46:15","How to enable Tailwind CSS v4.0 for the packages/ui components in Turborepo?","<next.js><tailwind-css><monorepo><turborepo>","7776","7","2","1"
"79470470","2025-02-26 16:45:52","Problem with VScode automatic uninstalled extension (Material theme)","<visual-studio-code>","7730","32","5","4"
"79526837","2025-03-22 01:43:15","Flutter Build Fails: Could Not Read Workspace Metadata from Gradle Cache","<android><flutter><gradle>","7727","5","2","4"
"79524523","2025-03-21 03:57:33","A problem occurred evaluating project ':geolocator_android'","<android><flutter><gradle><geolocation><location>","7711","5","5","2"
"79384142","2025-01-24 11:16:50","Error: 'could not determine executable to run' when running 'npx tailwindcss init -p'","<javascript><reactjs><npm><tailwind-css><vite>","7703","6","1","5"
"79390907","2025-01-27 13:08:18","Why are trailing commas auto deleted and not formatted in flutter?","<flutter><dart><formatting>","7689","24","7","0"
