Year,ChuyenNganh,LanguageTag,Quantity,Total_Domain_Quantity,MarketShare_Percent
2020,Data Science & AI,python,123353,128668,95.87
2020,Data Science & AI,javascript,1787,128668,1.39
2020,Data Science & AI,c++,950,128668,0.74
2020,Data Science & AI,c#,930,128668,0.72
2020,Data Science & AI,php,886,128668,0.69
2020,Data Science & AI,rust,399,128668,0.31
2020,Data Science & AI,typescript,192,128668,0.15
2020,Data Science & AI,swift,171,128668,0.13
2020,Database,php,11266,46798,24.07
2020,Database,java,9464,46798,20.22
2020,Database,javascript,8962,46798,19.15
2020,Database,python,8423,46798,18.0
2020,Database,c#,4811,46798,10.28
2020,Database,swift,1981,46798,4.23
2020,Database,typescript,874,46798,1.87
2020,Database,go,764,46798,1.63
2020,Database,c++,196,46798,0.42
2020,Database,rust,57,46798,0.12
2020,DevOps & Cloud,c#,2667,6645,40.14
2020,DevOps & Cloud,python,1611,6645,24.24
2020,DevOps & Cloud,php,1039,6645,15.64
2020,DevOps & Cloud,java,774,6645,11.65
2020,DevOps & Cloud,go,540,6645,8.13
2020,DevOps & Cloud,rust,14,6645,0.21
2020,Game Development,c#,4932,8911,55.35
2020,Game Development,python,2907,8911,32.62
2020,Game Development,c++,1053,8911,11.82
2020,Game Development,rust,19,8911,0.21
2020,Mobile App,swift,31634,71706,44.12
2020,Mobile App,java,27085,71706,37.77
2020,Mobile App,javascript,9564,71706,13.34
2020,Mobile App,c#,1740,71706,2.43
2020,Mobile App,typescript,877,71706,1.22
2020,Mobile App,c++,556,71706,0.78
2020,Mobile App,php,250,71706,0.35
2020,Web Backend,javascript,39602,154473,25.64
2020,Web Backend,java,32700,154473,21.17
2020,Web Backend,python,30228,154473,19.57
2020,Web Backend,c#,26637,154473,17.24
2020,Web Backend,php,21492,154473,13.91
2020,Web Backend,typescript,3576,154473,2.31
2020,Web Backend,swift,207,154473,0.13
2020,Web Backend,go,31,154473,0.02
2020,Web Frontend,javascript,167279,214671,77.92
2020,Web Frontend,typescript,25524,214671,11.89
2020,Web Frontend,php,14352,214671,6.69
2020,Web Frontend,python,4221,214671,1.97
2020,Web Frontend,c#,2170,214671,1.01
2020,Web Frontend,java,832,214671,0.39
2020,Web Frontend,c++,199,214671,0.09
2020,Web Frontend,go,80,214671,0.04
2020,Web Frontend,rust,14,214671,0.01
2021,Data Science & AI,python,109006,113165,96.32
2021,Data Science & AI,javascript,1515,113165,1.34
2021,Data Science & AI,c#,697,113165,0.62
2021,Data Science & AI,php,667,113165,0.59
2021,Data Science & AI,c++,576,113165,0.51
2021,Data Science & AI,rust,400,113165,0.35
2021,Data Science & AI,typescript,161,113165,0.14
2021,Data Science & AI,swift,143,113165,0.13
2021,Database,python,7604,35929,21.16
2021,Database,javascript,7355,35929,20.47
2021,Database,php,7269,35929,20.23
2021,Database,java,7001,35929,19.49
2021,Database,c#,3695,35929,10.28
2021,Database,swift,1211,35929,3.37
2021,Database,typescript,951,35929,2.65
2021,Database,go,735,35929,2.05
2021,Database,rust,108,35929,0.3
2021,DevOps & Cloud,c#,2022,6136,32.95
2021,DevOps & Cloud,python,1552,6136,25.29
