source_type,raw_text,language,event_date,label_gpt,label_germini,label
GITHUB,animation,Swift,2016,mobile,mobile,mobile
GITHUB,python,Python,2016,other,other,other
GITHUB,id,Go,2016,other,other,other
GITHUB,android,Java,2016,mobile,mobile,mobile
GITHUB,webpack-loader,TypeScript,2016,developer tools,developer tools,developer tools
GITHUB,download-manager,Go,2016,other,other,other
GITHUB,android,Kotlin,2016,mobile,mobile,mobile
GITHUB,desktop,Kotlin,2016,other,other,other
GITHUB,android,Java,2016,mobile,mobile,mobile
GITHUB,activedirectory,C#,2016,enterprise,enterprise,enterprise
GITHUB,optimistic-ui,JavaScript,2016,web frontend,web frontend,web frontend
GITHUB,ios,Swift,2016,mobile,mobile,mobile
GITHUB,css-assets,JavaScript,2016,web frontend,web frontend,web frontend
GITHUB,android,Kotlin,2016,mobile,mobile,mobile
GITHUB,boltdb,Go,2016,developer tools,developer tools,developer tools
GITHUB,1-wire,Swift,2016,iot,iot,iot
GITHUB,carthage,Swift,2016,mobile,mobile,mobile
GITHUB,plugin,C#,2016,developer tools,developer tools,developer tools
GITHUB,assembly,C++,2016,embedded,embedded,embedded
GITHUB,c-sharp,C#,2016,other,other,other
GITHUB,crdt,Go,2016,developer tools,developer tools,developer tools
GITHUB,cli,TypeScript,2016,developer tools,developer tools,developer tools
GITHUB,decorators,TypeScript,2016,developer tools,developer tools,developer tools
GITHUB,http,Java,2016,web backend,web backend,web backend
GITHUB,animation,Swift,2016,mobile,mobile,mobile
GITHUB,amperage,Swift,2016,mobile,mobile,mobile
GITHUB,auto-api-doc,Go,2016,developer tools,developer tools,developer tools
GITHUB,arduino,JavaScript,2016,embedded,embedded,embedded
GITHUB,ios,Swift,2016,mobile,mobile,mobile
GITHUB,android,Java,2016,mobile,mobile,mobile
GITHUB,countdown,Swift,2016,mobile,mobile,mobile
GITHUB,armor,Go,2016,security,security,security
GITHUB,andriod-country-spinner,Java,2016,mobile,mobile,mobile
GITHUB,csharp,Go,2016,other,other,other
GITHUB,bootstrap,JavaScript,2016,web frontend,web frontend,web frontend
GITHUB,artificial-intelligence,Go,2016,data_ai,data_ai,data_ai
GITHUB,async,TypeScript,2016,developer tools,developer tools,developer tools
