source_type,raw_text,language,event_date,label_gpt,label_germini,label
GITHUB,animation,Swift,2016-01-01T10:03:22Z,mobile,mobile,mobile
GITHUB,python,Python,2016-01-01T17:28:59Z,other,other,other
GITHUB,id,Go,2016-01-03T17:17:10Z,other,other,other
GITHUB,android,Java,2016-01-04T15:51:36Z,mobile,mobile,mobile
GITHUB,webpack-loader,TypeScript,2016-01-05T00:52:50Z,developer tools,developer tools,developer tools
GITHUB,download-manager,Go,2016-01-05T04:46:35Z,other,other,other
GITHUB,android,Kotlin,2016-01-06T04:32:04Z,mobile,mobile,mobile
GITHUB,desktop,Kotlin,2016-01-06T07:38:14Z,other,other,other
GITHUB,android,Java,2016-01-07T09:24:12Z,mobile,mobile,mobile
GITHUB,activedirectory,C#,2016-01-07T13:36:00Z,enterprise,enterprise,enterprise
GITHUB,optimistic-ui,JavaScript,2016-01-07T16:15:47Z,web frontend,web frontend,web frontend
GITHUB,ios,Swift,2016-01-07T20:19:55Z,mobile,mobile,mobile
GITHUB,css-assets,JavaScript,2016-01-08T16:52:16Z,web frontend,web frontend,web frontend
GITHUB,android,Kotlin,2016-01-10T04:21:23Z,mobile,mobile,mobile
GITHUB,boltdb,Go,2016-01-10T04:55:59Z,developer tools,developer tools,developer tools
GITHUB,1-wire,Swift,2016-01-10T09:05:48Z,iot,iot,iot
GITHUB,carthage,Swift,2016-01-10T11:14:36Z,mobile,mobile,mobile
GITHUB,plugin,C#,2016-01-10T23:40:06Z,developer tools,developer tools,developer tools
GITHUB,assembly,C++,2016-01-12T04:57:40Z,embedded,embedded,embedded
GITHUB,c-sharp,C#,2016-01-12T14:31:19Z,other,other,other
GITHUB,crdt,Go,2016-01-13T01:10:24Z,developer tools,developer tools,developer tools
GITHUB,cli,TypeScript,2016-01-14T02:27:18Z,developer tools,developer tools,developer tools
GITHUB,decorators,TypeScript,2016-01-14T05:16:49Z,developer tools,developer tools,developer tools
GITHUB,http,Java,2016-01-15T02:35:24Z,web backend,web backend,web backend
GITHUB,animation,Swift,2016-01-15T04:26:07Z,mobile,mobile,mobile
GITHUB,amperage,Swift,2016-01-15T07:01:20Z,mobile,mobile,mobile
GITHUB,auto-api-doc,Go,2016-01-15T08:21:00Z,developer tools,developer tools,developer tools
GITHUB,arduino,JavaScript,2016-01-15T14:55:36Z,embedded,embedded,embedded
GITHUB,ios,Swift,2016-01-16T06:47:53Z,mobile,mobile,mobile
GITHUB,android,Java,2016-01-16T21:23:22Z,mobile,mobile,mobile
GITHUB,countdown,Swift,2016-01-19T01:48:36Z,mobile,mobile,mobile
GITHUB,armor,Go,2016-01-19T17:27:27Z,security,security,security
GITHUB,andriod-country-spinner,Java,2016-01-20T02:28:34Z,mobile,mobile,mobile
GITHUB,csharp,Go,2016-01-21T00:28:18Z,other,other,other
GITHUB,bootstrap,JavaScript,2016-01-22T10:38:16Z,web frontend,web frontend,web frontend
GITHUB,artificial-intelligence,Go,2016-01-22T11:22:16Z,data_ai,data_ai,data_ai
GITHUB,async,TypeScript,2016-01-22T21:17:00Z,developer tools,developer tools,developer tools
GITHUB,distributed,Go,2016-01-23T19:25:53Z,devops_cloud,devops_cloud,devops_cloud
GITHUB,apache-kafka,Go,2016-01-23T21:33:29Z,devops_cloud,devops_cloud,devops_cloud
GITHUB,algorithm,Swift,2016-01-24T10:42:08Z,mobile,mobile,mobile
GITHUB,hacktoberfest,JavaScript,2016-01-25T00:49:05Z,other,other,other
GITHUB,cli,Go,2016-01-25T10:11:34Z,developer tools,developer tools,developer tools
GITHUB,atomic,C++,2016-01-26T02:49:47Z,developer tools,developer tools,developer tools
GITHUB,audio,C#,2016-01-26T03:11:01Z,other,other,other
GITHUB,algorithms,Swift,2016-01-26T09:56:12Z,mobile,mobile,mobile
GITHUB,censorship-circumvention,Rust,2016-01-26T12:50:14Z,security,security,security
GITHUB,android,Kotlin,2016-01-26T13:02:54Z,mobile,mobile,mobile
GITHUB,android,Java,2016-01-26T14:29:00Z,mobile,mobile,mobile
GITHUB,anti-debug,C++,2016-01-26T21:26:30Z,security,security,security
GITHUB,component,Swift,2016-01-26T23:27:09Z,mobile,mobile,mobile
GITHUB,image-picker,Java,2016-01-27T09:05:03Z,mobile,mobile,mobile
GITHUB,hololens,C#,2016-01-28T10:54:58Z,game,game,game
GITHUB,chrome,C#,2016-01-30T00:27:21Z,testing_qa,testing_qa,testing_qa
GITHUB,apple,Swift,2016-01-30T02:14:48Z,mobile,mobile,mobile
GITHUB,city,Java,2016-01-30T05:42:30Z,other,other,other
GITHUB,characters,Swift,2016-02-01T03:12:17Z,mobile,mobile,mobile
GITHUB,abstraction,Swift,2016-02-01T05:02:33Z,mobile,mobile,mobile
GITHUB,cpu-temperature,Swift,2016-02-02T09:46:30Z,mobile,mobile,mobile
GITHUB,cms,JavaScript,2016-02-03T06:18:02Z,web backend,web backend,web backend
GITHUB,natural-language-processing,Python,2016-02-03T08:52:45Z,data_ai,data_ai,data_ai
GITHUB,apple-swift,Swift,2016-02-04T05:00:50Z,mobile,mobile,mobile
GITHUB,linux,Swift,2016-02-05T06:35:32Z,other,other,other
GITHUB,font,Rust,2016-02-05T08:59:21Z,developer tools,developer tools,developer tools
GITHUB,android,Java,2016-02-05T12:57:07Z,mobile,mobile,mobile
GITHUB,project,Java,2016-02-06T03:04:24Z,other,other,other
GITHUB,async,Swift,2016-02-06T11:57:52Z,mobile,mobile,mobile
GITHUB,deeplink,Swift,2016-02-07T01:14:17Z,mobile,mobile,mobile
GITHUB,book,C#,2016-02-07T08:35:37Z,other,other,other
GITHUB,adapter,Java,2016-02-07T11:27:52Z,other,other,other
GITHUB,android-library,Kotlin,2016-02-07T16:04:38Z,mobile,mobile,mobile
GITHUB,lisp,Rust,2016-02-07T23:03:34Z,developer tools,developer tools,developer tools
GITHUB,bft,Python,2016-02-08T02:12:58Z,blockchain,blockchain,blockchain
GITHUB,kitura,Swift,2016-02-08T08:12:21Z,web backend,web backend,web backend
GITHUB,fluent-assertions,Kotlin,2016-02-08T10:27:53Z,testing_qa,testing_qa,testing_qa
GITHUB,java,Java,2016-02-08T21:20:58Z,other,other,other
