source_type,language,event_date,label_gpt
stackoverflow,go,2025,web backend
stackoverflow,c#,2025,developer tools
stackoverflow,typescript,2025,data_ai
stackoverflow,perl,2025,web backend
stackoverflow,dart,2024,web frontend
stackoverflow,java,2025,developer tools
stackoverflow,lua,2025,developer tools
stackoverflow,c,2023,developer tools
stackoverflow,swift,2023,mobile
stackoverflow,dart,2023,developer tools
stackoverflow,rust,2024,embedded
stackoverflow,java,2023,data_ai
stackoverflow,python,2025,developer tools
stackoverflow,dart,2023,mobile
stackoverflow,go,2024,devops_cloud
stackoverflow,typescript,2023,devops_cloud
stackoverflow,c,2024,developer tools
stackoverflow,swift,2024,mobile
stackoverflow,perl,2024,web backend
stackoverflow,ruby,2023,web backend
stackoverflow,typescript,2023,testing_qa
stackoverflow,c#,2025,data_ai
stackoverflow,kotlin,2024,developer tools
stackoverflow,c,2024,embedded
stackoverflow,lua,2024,embedded
stackoverflow,php,2024,web backend
stackoverflow,rust,2025,embedded
stackoverflow,scala,2025,developer tools
stackoverflow,python,2024,web backend
stackoverflow,ruby,2024,developer tools
stackoverflow,c#,2023,developer tools
stackoverflow,rust,2023,data_ai
stackoverflow,perl,2024,developer tools
stackoverflow,typescript,2025,developer tools
stackoverflow,python,2023,web backend
stackoverflow,typescript,2024,developer tools
stackoverflow,javascript,2024,web frontend
stackoverflow,python,2023,web backend
stackoverflow,php,2025,web frontend
stackoverflow,javascript,2025,web frontend
stackoverflow,ruby,2024,testing_qa
stackoverflow,javascript,2024,developer tools
stackoverflow,python,2024,data_ai
stackoverflow,php,2024,web backend
stackoverflow,c#,2023,mobile
stackoverflow,perl,2023,developer tools
stackoverflow,php,2025,developer tools
stackoverflow,dart,2025,mobile
stackoverflow,javascript,2024,developer tools
stackoverflow,python,2025,developer tools
stackoverflow,go,2023,web backend
stackoverflow,c#,2025,embedded
stackoverflow,swift,2023,mobile
stackoverflow,ruby,2024,web backend
stackoverflow,swift,2025,embedded
stackoverflow,c#,2023,data_ai
stackoverflow,kotlin,2025,mobile
stackoverflow,javascript,2023,mobile
stackoverflow,r,2023,data_ai
stackoverflow,go,2025,iot
stackoverflow,java,2023,testing_qa
stackoverflow,kotlin,2023,testing_qa
stackoverflow,swift,2025,mobile
stackoverflow,c++,2025,embedded
stackoverflow,perl,2024,developer tools
