source_type,tech_keywords,event_date,label_gpt
stackoverflow_question,"c++, c++11",2018,embedded
stackoverflow_question,"java, string, file, arraylist",2018,web frontend
stackoverflow_question,"java, csv",2018,data_ai
stackoverflow_question,python,2018,web backend
stackoverflow_question,"c, embedded, stdio, contiki",2018,embedded
stackoverflow_question,python,2018,web backend
stackoverflow_question,"javascript, lodash",2018,web frontend
stackoverflow_question,"java, jpa, entity-relationship",2018,web backend
stackoverflow_question,"python, tkinter",2018,web frontend
stackoverflow_question,javascript,2018,web frontend
stackoverflow_question,"c++, stl, stdmap, value-categories",2018,web backend
stackoverflow_question,"javascript, merge, javascript-objects",2018,web frontend
stackoverflow_question,javascript,2018,game
stackoverflow_question,c++,2018,data_ai
stackoverflow_question,"c#, .net, microsoft-graph-api, microsoft-teams",2018,web backend
stackoverflow_question,"java, performance",2018,data_ai
stackoverflow_question,"c++, arduino, fft",2018,data_ai
stackoverflow_question,"c++, boost",2018,web backend
stackoverflow_question,"c#, forms, xaml, xamarin",2018,mobile
stackoverflow_question,"php, algorithm, time-complexity, palindrome, longest-substring",2018,data_ai
stackoverflow_question,python,2018,data_ai
stackoverflow_question,"python-3.x, logging, google-cloud-platform",2018,devops_cloud
stackoverflow_question,"scala, apache-spark, apache-spark-sql",2018,data_ai
stackoverflow_question,"python, keras, reshape, keras-layer",2018,data_ai
stackoverflow_question,"javascript, performance, google-apps-script, google-sheets, execution",2018,web frontend
stackoverflow_question,"python, list, oop, object",2018,data_ai
stackoverflow_question,"php, internet-explorer, autocomplete, webpage",2018,web frontend
stackoverflow_question,"java, java-8, java-stream, grouping",2018,web backend
stackoverflow_question,"c#, .net, wpf, bitblt",2018,embedded
stackoverflow_question,"python, python-3.x, python-asyncio",2018,web backend
stackoverflow_question,"python, string, capitalization",2018,web frontend
stackoverflow_question,"javascript, if-statement",2018,web frontend
stackoverflow_question,"c, validation, passwords",2018,embedded
stackoverflow_question,"javascript, r, shiny",2018,web frontend
stackoverflow_question,"python, sympy",2018,data_ai
stackoverflow_question,"c#, google-cloud-platform, google-cloud-pubsub",2018,data_ai
stackoverflow_question,"python-3.x, celery, workflow",2018,devops_cloud
stackoverflow_question,"javascript, webassembly, assemblyscript",2018,embedded
stackoverflow_question,"python, microsoft-graph-api, microsoft-graph-security",2018,security
stackoverflow_question,"c#, dll, skiasharp, skia, fody-costura",2018,embedded
stackoverflow_question,"c#, .net, botframework",2018,web frontend
stackoverflow_question,"python, elasticsearch, elasticsearch-5",2018,data_ai
stackoverflow_question,"java, database, db2, ip, ipv4",2018,web backend
stackoverflow_question,"php, codeigniter",2018,data_ai
stackoverflow_question,"scala, intellij-idea, playframework, sbt",2018,developer tools
